Country	Deaths	DeltaWeeks
Italy	-4.85714	0.0199995
Italy	-4.71429	0.024922
Italy	-4.57143	0.0324526
Italy	-4.42857	0.045718
Italy	-4.28571	0.0687341
Italy	-4.14286	0.106147
Italy	-4	0.163033
Italy	-3.85714	0.244374
Italy	-3.71429	0.355091
Italy	-3.57143	0.501109
Italy	-3.42857	0.689725
Italy	-3.28571	0.928187
Italy	-3.14286	1.22029
Italy	-3	1.56261
Italy	-2.85714	1.94629
Italy	-2.71429	2.36332
Italy	-2.57143	2.81118
Italy	-2.42857	3.29627
Italy	-2.28571	3.8346
Italy	-2.14286	4.44456
Italy	-2	5.13481
Italy	-1.85714	5.90178
Italy	-1.71429	6.73726
Italy	-1.57143	7.62661
Italy	-1.42857	8.53821
Italy	-1.28571	9.41935
Italy	-1.14286	10.2114
Italy	-1	10.8871
Italy	-0.857143	11.4677
Italy	-0.714286	11.9907
Italy	-0.571429	12.4755
Italy	-0.428571	12.9115
Italy	-0.285714	13.255
Italy	-0.142857	13.4522
Italy	0	13.4809
Italy	0.142857	13.3542
Italy	0.285714	13.0935
Italy	0.428571	12.7208
Italy	0.571429	12.2624
Italy	0.714286	11.7477
Italy	0.857143	11.2159
Italy	1	10.7175
Italy	1.14286	10.2932
Italy	1.28571	9.95701
Italy	1.42857	9.70327
Italy	1.57143	9.51748
Italy	1.71429	9.38045
Italy	1.85714	9.27782
Italy	2	9.20548
Italy	2.14286	9.15524
Italy	2.28571	9.10011
Italy	2.42857	9.00732
Italy	2.57143	8.86057
Italy	2.71429	8.66325
Italy	2.85714	8.43233
Italy	3	8.19019
Italy	3.14286	7.94771
Italy	3.28571	7.69445
Italy	3.42857	7.41234
Italy	3.57143	7.09401
Italy	3.71429	6.74729
Italy	3.85714	6.39408
Italy	4	6.06584
Italy	4.14286	5.78561
Italy	4.28571	5.55248
Italy	4.42857	5.35156
Italy	4.57143	5.17138
Italy	4.71429	5.00154
Italy	4.85714	4.82842
Italy	5	4.65243
Italy	5.14286	4.49317
Italy	5.28571	4.35764
Italy	5.42857	4.22135
Italy	5.57143	4.05564
Italy	5.71429	3.85984
Italy	5.85714	3.66081
Italy	6	3.49141
Italy	6.14286	3.37083
Italy	6.28571	3.29575
Italy	6.42857	3.24179
Italy	6.57143	3.17376
Italy	6.71429	3.06537
Italy	6.85714	2.91702
Italy	7	2.75184
Italy	7.14286	2.59362
Italy	7.28571	2.44903
Italy	7.42857	2.3078
Italy	7.57143	2.15712
Italy	7.71429	1.99493
Italy	7.85714	1.83266
Italy	8	1.68899
Italy	8.14286	1.57817
Italy	8.28571	1.50115
Italy	8.42857	1.44804
Italy	8.57143	1.40717
Italy	8.71429	1.3699
Italy	8.85714	1.3304
Italy	9	1.28794
Italy	9.14286	1.24894
Italy	9.28571	1.2211
Italy	9.42857	1.20538
Italy	9.57143	1.19513
Italy	9.71429	1.18257
Italy	9.85714	1.16552
Italy	10	1.14772
Italy	10.1429	1.1334
Italy	10.2857	1.12313
Italy	10.4286	1.11582
Italy	10.5714	1.11204
Italy	10.7143	1.1121
Italy	10.8571	1.1121
France	-4.57143	0.0279984
France	-4.42857	0.0390789
France	-4.28571	0.0524269
France	-4.14286	0.0678086
France	-4	0.0852617
France	-3.85714	0.106166
France	-3.71429	0.133386
France	-3.57143	0.170872
France	-3.42857	0.223967
France	-3.28571	0.29937
France	-3.14286	0.404061
France	-3	0.544433
France	-2.85714	0.724486
France	-2.71429	0.942332
France	-2.57143	1.1916
France	-2.42857	1.47023
France	-2.28571	1.7843
France	-2.14286	2.14048
France	-2	2.5378
France	-1.85714	2.96987
France	-1.71429	3.43548
France	-1.57143	3.94895
France	-1.42857	4.54814
France	-1.28571	5.29479
France	-1.14286	6.25465
France	-1	7.46404
France	-0.857143	8.90516
France	-0.714286	10.4946
France	-0.571429	12.0617
France	-0.428571	13.3599
France	-0.285714	14.2091
France	-0.142857	14.6339
France	0	14.7686
France	0.142857	14.6883
France	0.285714	14.4125
France	0.428571	13.9696
France	0.571429	13.4178
France	0.714286	12.8676
France	0.857143	12.4517
France	1	12.2241
France	1.14286	12.0975
France	1.28571	11.8898
France	1.42857	11.4599
France	1.57143	10.8039
France	1.71429	10.0212
France	1.85714	9.22999
France	2	8.50989
France	2.14286	7.87925
France	2.28571	7.31616
France	2.42857	6.79791
France	2.57143	6.32291
France	2.71429	5.90647
France	2.85714	5.55793
France	3	5.25932
France	3.14286	4.97037
France	3.28571	4.65938
France	3.42857	4.32993
France	3.57143	4.02025
France	3.71429	3.77645
France	3.85714	3.61822
France	4	3.5212
France	4.14286	3.43415
France	4.28571	3.32042
France	4.42857	3.18223
France	4.57143	3.05025
France	4.71429	2.9611
France	4.85714	2.93305
France	5	2.94264
France	5.14286	2.93483
France	5.28571	2.86545
France	5.42857	2.72184
France	5.57143	2.51786
France	5.71429	2.28791
France	5.85714	2.0665
France	6	1.8639
France	6.14286	1.67156
France	6.28571	1.48426
France	6.42857	1.30855
France	6.57143	1.15722
France	6.71429	1.04253
France	6.85714	0.969984
France	7	0.933042
France	7.14286	0.915287
France	7.28571	0.901135
France	7.42857	0.884297
France	7.57143	0.866749
France	7.71429	0.853526
France	7.85714	0.848435
France	8	0.849298
France	8.14286	0.845228
France	8.28571	0.82406
France	8.42857	0.784468
France	8.57143	0.736989
France	8.71429	0.69513
France	8.85714	0.667429
France	9	0.653026
France	9.14286	0.644133
France	9.28571	0.635999
France	9.42857	0.631112
France	9.57143	0.631661
France	9.71429	0.631661
United_Kingdom	-4.42857	0.0247268
United_Kingdom	-4.28571	0.0410994
United_Kingdom	-4.14286	0.0644661
United_Kingdom	-4	0.0954417
United_Kingdom	-3.85714	0.133232
United_Kingdom	-3.71429	0.176872
United_Kingdom	-3.57143	0.227481
United_Kingdom	-3.42857	0.289235
United_Kingdom	-3.28571	0.368757
United_Kingdom	-3.14286	0.475145
United_Kingdom	-3	0.621221
United_Kingdom	-2.85714	0.823201
United_Kingdom	-2.71429	1.09691
United_Kingdom	-2.57143	1.45097
United_Kingdom	-2.42857	1.88202
United_Kingdom	-2.28571	2.38006
United_Kingdom	-2.14286	2.93976
United_Kingdom	-2	3.56545
United_Kingdom	-1.85714	4.27196
United_Kingdom	-1.71429	5.08131
United_Kingdom	-1.57143	6.00384
United_Kingdom	-1.42857	7.01557
United_Kingdom	-1.28571	8.0582
United_Kingdom	-1.14286	9.0675
United_Kingdom	-1	10.0073
United_Kingdom	-0.857143	10.8814
United_Kingdom	-0.714286	11.7194
United_Kingdom	-0.571429	12.5367
United_Kingdom	-0.428571	13.2869
United_Kingdom	-0.285714	13.8674
United_Kingdom	-0.142857	14.1896
United_Kingdom	0	14.241
United_Kingdom	0.142857	14.1022
United_Kingdom	0.285714	13.909
United_Kingdom	0.428571	13.7669
United_Kingdom	0.571429	13.6927
United_Kingdom	0.714286	13.6374
United_Kingdom	0.857143	13.5418
United_Kingdom	1	13.3683
United_Kingdom	1.14286	13.1232
United_Kingdom	1.28571	12.8676
United_Kingdom	1.42857	12.6648
United_Kingdom	1.57143	12.4994
United_Kingdom	1.71429	12.295
United_Kingdom	1.85714	11.998
United_Kingdom	2	11.6019
United_Kingdom	2.14286	11.142
United_Kingdom	2.28571	10.7049
United_Kingdom	2.42857	10.3757
United_Kingdom	2.57143	10.1461
United_Kingdom	2.71429	9.92207
United_Kingdom	2.85714	9.62122
United_Kingdom	3	9.22876
United_Kingdom	3.14286	8.792
United_Kingdom	3.28571	8.39606
United_Kingdom	3.42857	8.10692
United_Kingdom	3.57143	7.90787
United_Kingdom	3.71429	7.71537
United_Kingdom	3.85714	7.45988
United_Kingdom	4	7.13541
United_Kingdom	4.14286	6.79599
United_Kingdom	4.28571	6.52127
United_Kingdom	4.42857	6.35578
United_Kingdom	4.57143	6.26629
United_Kingdom	4.71429	6.17389
United_Kingdom	4.85714	6.02445
United_Kingdom	5	5.81437
United_Kingdom	5.14286	5.57252
United_Kingdom	5.28571	5.34341
United_Kingdom	5.42857	5.15836
United_Kingdom	5.57143	4.99797
United_Kingdom	5.71429	4.80824
United_Kingdom	5.85714	4.5583
United_Kingdom	6	4.26364
United_Kingdom	6.14286	3.97575
United_Kingdom	6.28571	3.76763
United_Kingdom	6.42857	3.70231
United_Kingdom	6.57143	3.79074
United_Kingdom	6.71429	3.97906
United_Kingdom	6.85714	4.18674
United_Kingdom	7	4.36249
United_Kingdom	7.14286	4.50049
United_Kingdom	7.28571	4.60377
United_Kingdom	7.42857	4.64283
United_Kingdom	7.57143	4.56972
United_Kingdom	7.71429	4.36818
United_Kingdom	7.85714	4.06674
United_Kingdom	8	3.71317
United_Kingdom	8.14286	3.36133
United_Kingdom	8.28571	3.07106
United_Kingdom	8.42857	2.88521
United_Kingdom	8.57143	2.79852
United_Kingdom	8.71429	2.76946
United_Kingdom	8.85714	2.76204
United_Kingdom	9	2.76133
United_Kingdom	9.14286	2.76133
Germany	-5	0.00751004
Germany	-4.85714	0.0102181
Germany	-4.71429	0.0151275
Germany	-4.57143	0.0235219
Germany	-4.42857	0.0371616
Germany	-4.28571	0.0579806
