code	popm	start	tmax	t50	t25	cmax	dmax	dtot1	dtot2	s1	s2	country
ITA	60.431	56	34	27	44	5652	13	165	403	0.468	-0.164	Italy
FRA	66.987	66	32	16	27	4504	15	121	319	0.462	-0.203	France
GBR	66.489	71	31	29	57	5482	14	143	484	0.521	-0.195	United_Kingdom
DEU	82.928	73	35	19	31	5534	3	43	63	0.097	-0.045	Germany
ESP	46.724	67	26	20	33	7949	19	176	450	0.860	-0.249	Spain
SWE	10.183	77	36	26	-1	1020	10	164	315	0.322	-0.108	Sweden
NLD	17.231	72	24	29	39	1115	9	85	266	0.432	-0.139	Netherlands
CAN	37.059	78	49	30	-1	1736	5	105	114	0.116	-0.076	Canada
USA	327.167	63	45	30	-1	31681	8	93	260	0.183	-0.093	United_States_of_America
EUU	764.402	56	44	24	45	33939	5	76	166	0.142	-0.075	Europe
